DATE,MSPUS_GDPDEF
1963-01-01,1038.2035578885972587
1963-04-01,1048.0349344978165939
1963-07-01,1040.8186998488196302
1963-10-01,1067.0819634308127127
1964-01-01,1063.7074517019319227
1964-04-01,1084.2129417163836622
1964-07-01,1079.8765855330819335
1964-10-01,1103.4639667823218247
1965-01-01,1143.1805319750990379
1965-04-01,1115.4301166131485550
1965-07-01,1133.6214153431730176
1965-10-01,1131.4234756437409430
1966-01-01,1162.9838843661737830
1966-04-01,1213.9522109310628948
1966-07-01,1169.6860888961427561
1966-10-01,1154.5724305368222282
1967-01-01,1198.1517300666236836
1967-04-01,1245.5230662318918052
1967-07-01,1191.3586783861061103
1967-10-01,1199.2040217846669460
1968-01-01,1237.8288792210482701
1968-04-01,1276.2031674440059454
1968-07-01,1258.6915698117038015
1968-10-01,1281.2171562984835594
1969-01-01,1273.0965472829048397
1969-04-01,1266.8753668558012131
1969-07-01,1249.3367420770826299
1969-10-01,1185.8272216401562054
1970-01-01,1122.3818916126608434
1970-04-01,1130.1005048399796211
1970-07-01,1056.5968393972804116
1970-10-01,1024.6644903881030105
1971-01-01,1085.2574695190031709
1971-04-01,1137.3154066563808684
1971-07-01,1104.0321172979577588
1971-10-01,1103.5616912623880209
1972-01-01,1116.8897604228834513
1972-04-01,1135.4007795288934079
1972-07-01,1170.7931179185900126
1972-10-01,1209.9113284163420900
1973-01-01,1237.0965099131574635
1973-04-01,1319.2399241537902933
1973-07-01,1325.6826276216857934
1973-10-01,1319.2100259961975711
1974-01-01,1340.4417364813404417
1974-04-01,1324.4047619047619048
1974-07-01,1308.3706809310394680
1974-10-01,1306.0880556140720455
1975-01-01,1307.9748704040646778
1975-04-01,1319.2612137203166227
1975-07-01,1289.7221114213535434
1975-10-01,1346.9774740902998006
1976-01-01,1384.6203616835430753
1976-04-01,1415.6684389212734610
1976-07-01,1403.9081768165433504
1976-10-01,1413.3946322067594433
1977-01-01,1415.4260034850661857
1977-04-01,1474.1348124924635235
1977-07-01,1453.4191088873004527
1977-10-01,1504.3293198449024810
1978-01-01,1522.9885057471264368
1978-04-01,1559.2838009304948541
1978-07-01,1555.4384894779161006
1978-10-01,1602.9995109493017443
1979-01-01,1617.0349023374959974
1979-04-01,1643.4859613481273116
1979-07-01,1649.0798796961818831
1979-10-01,1566.4881637555677894
1980-01-01,1561.2362442097007426
1980-04-01,1532.1267834913339079
1980-07-01,1519.7283690434375366
1980-10-01,1515.3589848920534940
1981-01-01,1485.3686738415013786
1981-04-01,1513.2023635610404902
1981-07-01,1480.9741899584813594
1981-10-01,1481.0451466318845458
1982-01-01,1377.9364157051548103
1982-04-01,1425.8204613430573196
1982-07-01,1399.8303235971397406
1982-10-01,1431.4560467022531438
1983-01-01,1454.4516538682858107
1983-04-01,1475.2516200193023576
1983-07-01,1508.4484808325700142
1983-10-01,1468.0851063829787234
1984-01-01,1497.4245064435210539
1984-04-01,1532.1815074995253465
1984-07-01,1524.3328691332003463
1984-10-01,1492.4536760310818888
1985-01-01,1531.4898733006566170
1985-04-01,1549.2621248598680462
1985-07-01,1519.8845472315083758
1985-10-01,1576.8343415626646320
1986-01-01,1590.7160029645161873
1986-04-01,1658.5330716176550035
1986-07-01,1667.9220918971268697
1986-10-01,1694.5524597766758232
1987-01-01,1735.2617958807472792
1987-04-01,1820.1341336760020419
1987-07-01,1851.8842048253812960
1987-10-01,1932.5764797642776670
1988-01-01,1891.7570983885669080
1988-04-01,1873.5203447277434299
1988-07-01,1935.5381637633594210
1988-10-01,1900.5823557876820905
1989-01-01,1948.7060921837068353
1989-04-01,1942.8739501290891859
1989-07-01,1946.6298969908346176
1989-10-01,2010.1797564589910444
1990-01-01,1974.3761353857921407
1990-04-01,1998.2035078872307232
1990-07-01,1828.0964359931876064
1990-10-01,1884.3928842843184391
1991-01-01,1843.0631709901856886
1991-04-01,1828.1061795782700840
1991-07-01,1815.4586302364634866
1991-10-01,1804.7283883775491788
1992-01-01,1790.5572453887532028
1992-04-01,1787.3100983020554066
1992-07-01,1778.6209758700420940
1992-10-01,1854.7959724430312666
1993-01-01,1829.8127735570096468
1993-04-01,1848.1060550939332645
1993-07-01,1837.1716236546695984
1993-10-01,1827.2066757787209553
1994-01-01,1861.4774403253289803
1994-04-01,1852.5379770285290848
1994-07-01,1837.7091687093529053
1994-10-01,1860.2029312288613303
1995-01-01,1822.1574344023323615
1995-04-01,1867.8421471117496896
1995-07-01,1832.3153803442531927
1995-10-01,1906.4196609888515894
1996-01-01,1883.5239771227452706
1996-04-01,1915.4675027725673289
1996-07-01,1910.5846388995032480
1996-10-01,1956.0731932453711245
1997-01-01,1956.6302778414994535
1997-04-01,1963.4512571205408244
1997-07-01,1944.2470400514890251
1997-10-01,1927.1891371752378916
1998-01-01,2031.1478253906823429
1998-04-01,1990.4140593795766210
1998-07-01,2028.2900057004228918
1998-10-01,2022.7125500720508719
1999-01-01,2073.0711482232700261
1999-04-01,2082.6498339916798992
1999-07-01,2080.7721482566503623
1999-10-01,2150.2998451992246953
2000-01-01,2135.7692904026047858
2000-04-01,2095.9352725871701021
2000-07-01,2155.5632175101201650
2000-10-01,2196.3085756386316578
2001-01-01,2143.8311196404222009
2001-04-01,2246.4013654104388640
2001-07-01,2156.1421928903554822
2001-10-01,2131.6091094832311756
2002-01-01,2343.1388374951883079
2002-04-01,2316.2296927778671385
2002-07-01,2193.5118358499396507
2002-10-01,2328.1161976143238543
2003-01-01,2267.6013410545565376
2003-04-01,2331.4613570612403666
2003-07-01,2320.0986555759744656
2003-10-01,2389.3943582408865278
2004-01-01,2537.5805297065139585
2004-04-01,2575.0260342705670737
2004-07-01,2510.1109857035364936
2004-10-01,2669.4045174537987680
2005-01-01,2691.2525610306629163
2005-04-01,2686.3304059956779622
2005-07-01,2693.0043402481118212
2005-10-01,2752.8845393212715705
2006-01-01,2779.8040557980854478
2006-04-01,2741.1743756399412367
2006-07-01,2603.8615841999977896
2006-10-01,2702.1967736607388647
2007-01-01,2806.7344179351855890
2007-04-01,2624.0235750425239163
2007-07-01,2606.2774855566094680
2007-10-01,2559.4503193944924580
2008-01-01,2501.8986190888767663
2008-04-01,2503.4578146611341632
2008-07-01,2392.0160523814552751
2008-10-01,2342.4504663845198240
2009-01-01,2194.2385444743935310
2009-04-01,2329.2351167253632510
2009-07-01,2257.2626345615032969
2009-10-01,2298.9953705161717003
2010-01-01,2334.0558539879998743
2010-04-01,2287.8167245135132318
2010-07-01,2328.9892124462181206
2010-10-01,2318.0347860235833945
2011-01-01,2332.3705066661184380
2011-04-01,2329.4050366618328874
2011-07-01,2267.8152872058689233
2011-10-01,2240.0534938147776663
2012-01-01,2400.3221908981071285
2012-04-01,2393.8704080711642414
2012-07-01,2482.4145672237465702
2012-10-01,2498.5854254146937074
2013-01-01,2554.8996925023976903
2013-04-01,2643.1761493034673818
2013-07-01,2598.1671539865381974
2013-10-01,2668.8256581835207819
2014-01-01,2673.4798954700447847
2014-04-01,2782.2861117551588222
2014-07-01,2703.0406802812701405
2014-10-01,2870.6433737022559857
2015-01-01,2778.3648765491401672
2015-04-01,2761.8820157630761882
2015-07-01,2815.8556088645190770
2015-10-01,2879.6085636226903635
2016-01-01,2856.8433691312261175
2016-04-01,2896.1640023850762373
2016-07-01,2864.8755693445111889
2016-10-01,2917.8515452694015073
2017-01-01,2924.5829363522576547
2017-04-01,2962.4526352049603858
2017-07-01,2968.3346762616580071
2017-10-01,3108.1839338441584723
2018-01-01,3034.1548168808010608
2018-04-01,2861.7803610776108305
2018-07-01,2987.3518286132151272
2018-10-01,2901.4165528151290717
2019-01-01,2807.8548168614821526
2019-04-01,2874.6389988234035726
2019-07-01,2759.5327700063906838
